;Geslacht;Onderwijssoort;Studierichting;Perioden;Enrollment;Freshmen
64056;Mannen;Hoger beroepsonderwijs;Totaal;2010;198810;47089
64057;Mannen;Hoger beroepsonderwijs;Totaal;2011;203973;47227
64058;Mannen;Hoger beroepsonderwijs;Totaal;2012;203585;46243
64059;Mannen;Hoger beroepsonderwijs;Totaal;2013;213624;48310
64060;Mannen;Hoger beroepsonderwijs;Totaal;2014;217203;46825
64061;Mannen;Hoger beroepsonderwijs;Totaal;2015;215593;43257
64062;Mannen;Hoger beroepsonderwijs;Totaal;2016;217737;45297
64063;Mannen;Hoger beroepsonderwijs;Totaal;2017;221398;47997
64064;Mannen;Hoger beroepsonderwijs;Totaal;2018;222422;48272
64065;Mannen;Hoger beroepsonderwijs;Totaal;2019;224212;48666
64066;Mannen;Hoger beroepsonderwijs;Totaal;2020;234155;52154
64067;Mannen;Hoger beroepsonderwijs;Totaal;2021;233157;47437
64068;Mannen;Hoger beroepsonderwijs;01 Onderwijs;2010;22228;4244
64069;Mannen;Hoger beroepsonderwijs;01 Onderwijs;2011;21837;3974
64070;Mannen;Hoger beroepsonderwijs;01 Onderwijs;2012;20927;3720
64071;Mannen;Hoger beroepsonderwijs;01 Onderwijs;2013;22195;4011
64072;Mannen;Hoger beroepsonderwijs;01 Onderwijs;2014;22451;3824
64073;Mannen;Hoger beroepsonderwijs;01 Onderwijs;2015;21877;3224
64074;Mannen;Hoger beroepsonderwijs;01 Onderwijs;2016;21885;3383
64075;Mannen;Hoger beroepsonderwijs;01 Onderwijs;2017;22026;3676
64076;Mannen;Hoger beroepsonderwijs;01 Onderwijs;2018;21682;3532
64077;Mannen;Hoger beroepsonderwijs;01 Onderwijs;2019;21563;3635
64078;Mannen;Hoger beroepsonderwijs;01 Onderwijs;2020;22918;4218
64079;Mannen;Hoger beroepsonderwijs;01 Onderwijs;2021;22736;3696
64080;Mannen;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2010;22228;4244
64081;Mannen;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2011;21837;3974
64082;Mannen;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2012;20927;3720
64083;Mannen;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2013;22195;4011
64084;Mannen;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2014;22451;3824
64085;Mannen;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2015;21877;3224
64086;Mannen;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2016;21885;3383
64087;Mannen;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2017;22026;3676
64088;Mannen;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2018;21682;3532
64089;Mannen;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2019;21563;3635
64090;Mannen;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2020;22918;4218
64091;Mannen;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2021;22736;3696
64092;Mannen;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2010;0;0
64093;Mannen;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2011;0;0
64094;Mannen;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2012;0;0
64095;Mannen;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2013;0;0
64096;Mannen;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2014;0;0
64097;Mannen;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2015;0;0
64098;Mannen;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2016;0;0
64099;Mannen;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2017;0;0
64100;Mannen;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2018;0;0
64101;Mannen;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2019;0;0
64102;Mannen;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2020;0;0
64103;Mannen;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2021;0;0
64104;Mannen;Hoger beroepsonderwijs;0111 Onderwijskunde;2010;947;152
64105;Mannen;Hoger beroepsonderwijs;0111 Onderwijskunde;2011;1046;169
64106;Mannen;Hoger beroepsonderwijs;0111 Onderwijskunde;2012;1034;141
64107;Mannen;Hoger beroepsonderwijs;0111 Onderwijskunde;2013;1175;163
64108;Mannen;Hoger beroepsonderwijs;0111 Onderwijskunde;2014;1205;166
64109;Mannen;Hoger beroepsonderwijs;0111 Onderwijskunde;2015;1249;142
64110;Mannen;Hoger beroepsonderwijs;0111 Onderwijskunde;2016;1208;103
64111;Mannen;Hoger beroepsonderwijs;0111 Onderwijskunde;2017;1166;122
64112;Mannen;Hoger beroepsonderwijs;0111 Onderwijskunde;2018;1084;130
64113;Mannen;Hoger beroepsonderwijs;0111 Onderwijskunde;2019;1060;116
64114;Mannen;Hoger beroepsonderwijs;0111 Onderwijskunde;2020;1117;186
64115;Mannen;Hoger beroepsonderwijs;0111 Onderwijskunde;2021;1211;196
64116;Mannen;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2010;0;0
64117;Mannen;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2011;0;0
64118;Mannen;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2012;0;0
64119;Mannen;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2013;0;0
64120;Mannen;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2014;0;0
64121;Mannen;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2015;0;0
64122;Mannen;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2016;0;0
64123;Mannen;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2017;0;0
64124;Mannen;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2018;0;0
64125;Mannen;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2019;0;0
64126;Mannen;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2020;0;0
64127;Mannen;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2021;0;0
64128;Mannen;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2010;5705;1159
64129;Mannen;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2011;5371;1061
64130;Mannen;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2012;5009;1025
64131;Mannen;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2013;5225;1128
64132;Mannen;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2014;5352;1185
64133;Mannen;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2015;4904;864
64134;Mannen;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2016;4962;950
64135;Mannen;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2017;5256;1124
64136;Mannen;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2018;5482;1173
64137;Mannen;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2019;5821;1323
