;Onderwijssoort;Studierichting;Perioden;Enrollment;Freshmen
1884;Hoger beroepsonderwijs;Totaal;2010;416638;100104
1885;Hoger beroepsonderwijs;Totaal;2011;423945;99019
1886;Hoger beroepsonderwijs;Totaal;2012;421693;97006
1887;Hoger beroepsonderwijs;Totaal;2013;440293;102817
1888;Hoger beroepsonderwijs;Totaal;2014;446434;98505
1889;Hoger beroepsonderwijs;Totaal;2015;442594;90231
1890;Hoger beroepsonderwijs;Totaal;2016;446645;95155
1891;Hoger beroepsonderwijs;Totaal;2017;452690;100463
1892;Hoger beroepsonderwijs;Totaal;2018;455670;102617
1893;Hoger beroepsonderwijs;Totaal;2019;463330;104927
1894;Hoger beroepsonderwijs;Totaal;2020;489262;115624
1895;Hoger beroepsonderwijs;Totaal;2021;491499;103875
1896;Hoger beroepsonderwijs;01 Onderwijs;2010;77857;15372
1897;Hoger beroepsonderwijs;01 Onderwijs;2011;75008;14107
1898;Hoger beroepsonderwijs;01 Onderwijs;2012;70683;13108
1899;Hoger beroepsonderwijs;01 Onderwijs;2013;72145;13724
1900;Hoger beroepsonderwijs;01 Onderwijs;2014;72412;13490
1901;Hoger beroepsonderwijs;01 Onderwijs;2015;69728;10962
1902;Hoger beroepsonderwijs;01 Onderwijs;2016;68726;11287
1903;Hoger beroepsonderwijs;01 Onderwijs;2017;67327;11607
1904;Hoger beroepsonderwijs;01 Onderwijs;2018;66265;12080
1905;Hoger beroepsonderwijs;01 Onderwijs;2019;66727;12655
1906;Hoger beroepsonderwijs;01 Onderwijs;2020;71322;15113
1907;Hoger beroepsonderwijs;01 Onderwijs;2021;71863;12993
1908;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2010;77857;15372
1909;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2011;75008;14107
1910;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2012;70683;13108
1911;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2013;72145;13724
1912;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2014;72412;13490
1913;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2015;69728;10962
1914;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2016;68726;11287
1915;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2017;67327;11607
1916;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2018;66265;12080
1917;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2019;66727;12655
1918;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2020;71322;15113
1919;Hoger beroepsonderwijs;011 Onderwijskunde, lerarenopleiding...;2021;71863;12993
1920;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2010;0;0
1921;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2011;0;0
1922;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2012;0;0
1923;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2013;0;0
1924;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2014;0;0
1925;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2015;0;0
1926;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2016;0;0
1927;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2017;0;0
1928;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2018;0;0
1929;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2019;0;0
1930;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2020;0;0
1931;Hoger beroepsonderwijs;0110 Onderwijskunde, lerarenopl. z.n.d.;2021;0;0
1932;Hoger beroepsonderwijs;0111 Onderwijskunde;2010;9980;2084
1933;Hoger beroepsonderwijs;0111 Onderwijskunde;2011;10336;2098
1934;Hoger beroepsonderwijs;0111 Onderwijskunde;2012;10403;2068
1935;Hoger beroepsonderwijs;0111 Onderwijskunde;2013;10892;2142
1936;Hoger beroepsonderwijs;0111 Onderwijskunde;2014;11172;2113
1937;Hoger beroepsonderwijs;0111 Onderwijskunde;2015;11292;1896
1938;Hoger beroepsonderwijs;0111 Onderwijskunde;2016;11014;1678
1939;Hoger beroepsonderwijs;0111 Onderwijskunde;2017;10306;1575
1940;Hoger beroepsonderwijs;0111 Onderwijskunde;2018;9773;1852
1941;Hoger beroepsonderwijs;0111 Onderwijskunde;2019;9799;2056
1942;Hoger beroepsonderwijs;0111 Onderwijskunde;2020;10401;2522
1943;Hoger beroepsonderwijs;0111 Onderwijskunde;2021;11114;2432
1944;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2010;0;0
1945;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2011;0;0
1946;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2012;0;0
1947;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2013;0;0
1948;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2014;0;0
1949;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2015;0;0
1950;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2016;0;0
1951;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2017;0;0
1952;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2018;0;0
1953;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2019;0;0
1954;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2020;0;0
1955;Hoger beroepsonderwijs;0112 Opleiding kleuterleidsters;2021;0;0
1956;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2010;34634;7122
1957;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2011;31982;6384
1958;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2012;28948;5650
1959;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2013;28478;5947
1960;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2014;28022;5881
1961;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2015;25055;4019
1962;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2016;24170;4339
1963;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2017;23422;4475
1964;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2018;23364;4929
1965;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2019;24507;5394
1966;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2020;27783;7037
1967;Hoger beroepsonderwijs;0113 Lerarenopleiding basisonderwijs,...;2021;28264;5571
1968;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2010;33243;6166
1969;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2011;32690;5625
1970;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2012;31332;5390
1971;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2013;32775;5635
1972;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2014;33218;5496
1973;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2015;33381;5047
1974;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2016;33542;5270
1975;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2017;33599;5557
1976;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2018;33128;5299
1977;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2019;32421;5205
1978;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2020;33138;5554
1979;Hoger beroepsonderwijs;0114 Lerarenopleiding algemene en ber...;2021;32485;4990
1980;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2010;29037;6913
1981;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2011;29575;6984
1982;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2012;29634;6840
1983;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2013;30162;7015
1984;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2014;30567;6843
1985;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2015;30097;6315
1986;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2016;30220;6659
1987;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2017;30834;7298
1988;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2018;33479;9135
1989;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2019;35459;9291
1990;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2020;38697;10011
1991;Hoger beroepsonderwijs;02 Vormgeving, kunst, talen en gesch... ;2021;40572;9334
1992;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2010;0;0
1993;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2011;0;0
1994;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2012;0;0
1995;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2013;0;0
1996;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2014;0;0
1997;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2015;0;0
1998;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2016;0;0
1999;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2017;0;0
2000;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2018;0;0
2001;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2019;0;0
2002;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2020;0;0
2003;Hoger beroepsonderwijs;020 Vormgeving, kunst, talen… z.n.d.;2021;0;0
2004;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2010;0;0
2005;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2011;0;0
2006;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2012;0;0
2007;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2013;0;0
2008;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2014;0;0
2009;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2015;0;0
2010;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2016;0;0
2011;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2017;0;0
2012;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2018;0;0
2013;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2019;0;0
2014;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2020;0;0
2015;Hoger beroepsonderwijs;0200 Vormgeving, kunst, talen… z.n.d.;2021;0;0
2016;Hoger beroepsonderwijs;021 Kunst;2010;26800;6371
2017;Hoger beroepsonderwijs;021 Kunst;2011;27174;6375
2018;Hoger beroepsonderwijs;021 Kunst;2012;27324;6367
2019;Hoger beroepsonderwijs;021 Kunst;2013;27789;6462
2020;Hoger beroepsonderwijs;021 Kunst;2014;28181;6362
2021;Hoger beroepsonderwijs;021 Kunst;2015;27779;5895
2022;Hoger beroepsonderwijs;021 Kunst;2016;27985;6285
2023;Hoger beroepsonderwijs;021 Kunst;2017;28539;6845
2024;Hoger beroepsonderwijs;021 Kunst;2018;31280;8740
2025;Hoger beroepsonderwijs;021 Kunst;2019;33327;8905
2026;Hoger beroepsonderwijs;021 Kunst;2020;36448;9543
2027;Hoger beroepsonderwijs;021 Kunst;2021;38237;8842
2028;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2010;0;0
2029;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2011;0;0
2030;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2012;0;0
2031;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2013;0;0
2032;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2014;0;0
2033;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2015;0;0
2034;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2016;28;12
2035;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2017;31;17
2036;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2018;47;17
2037;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2019;58;18
2038;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2020;57;22
2039;Hoger beroepsonderwijs;0210 Kunst z.n.d.;2021;60;19
2040;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2010;10604;2420
2041;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2011;11092;2429
2042;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2012;11573;2556
2043;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2013;11993;2563
2044;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2014;12380;2553
2045;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2015;12267;2307
2046;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2016;12381;2492
2047;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2017;12554;2697
2048;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2018;15009;4482
2049;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2019;16933;4745
2050;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2020;19413;5093
2051;Hoger beroepsonderwijs;0211 Audiovisuele techniek en mediapr...;2021;20683;4481
2052;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2010;228;112
2053;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2011;397;169
2054;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2012;528;181
2055;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2013;693;221
2056;Hoger beroepsonderwijs;0212 Mode-, interieur- en industriële...;2014;867;246
